"Age" "Attitude" "Points" "GENDER" "deep" "stra" "surf"
"80" 23 25 16 "F" 4.08333333333333 2.625 3.25
"81" 22 28 31 "M" 4.08333333333333 2.25 1.75
"82" 20 38 22 "M" 3.75 2.75 2.58333333333333
"83" 22 31 31 "M" 3.08333333333333 3 3.33333333333333
"84" 21 35 23 "M" 4.75 1.625 2.83333333333333
"85" 22 36 26 "F" 4.25 1.875 2.5
"86" 23 26 12 "F" 4.16666666666667 3.375 2.41666666666667
"87" 21 44 26 "M" 4.41666666666667 3.75 2.41666666666667
"88" 22 45 31 "M" 3.83333333333333 2.125 2.58333333333333
"89" 29 32 19 "M" 3.33333333333333 2.375 3
"91" 29 39 30 "F" 3.16666666666667 2.75 2
"92" 21 25 12 "F" 3.16666666666667 3.125 3.41666666666667
"93" 28 33 17 "M" 3.83333333333333 3.5 2.83333333333333
"95" 21 33 18 "F" 4.25 2.625 2.25
"96" 30 30 19 "F" 3.83333333333333 3.375 2.75
"97" 21 29 21 "F" 3.66666666666667 2.25 3.91666666666667
"98" 23 33 24 "M" 3.83333333333333 3 2.33333333333333
"99" 21 33 28 "F" 3.83333333333333 4 2.75
"100" 21 35 17 "F" 3.83333333333333 3.5 2.75
"101" 20 36 18 "F" 3.66666666666667 2.625 2.91666666666667
"103" 22 37 17 "M" 4.33333333333333 2.5 2.08333333333333
"105" 21 42 23 "M" 3.75 3.75 3.66666666666667
"107" 21 32 26 "M" 4.16666666666667 3.625 2.83333333333333
"108" 20 50 28 "F" 4 4.125 3.41666666666667
"109" 22 47 31 "M" 4 4.375 1.58333333333333
"110" 20 36 27 "F" 4.58333333333333 2.625 2.91666666666667
"111" 20 36 25 "F" 3.66666666666667 4 3
"112" 24 29 23 "M" 3.66666666666667 2.75 2.91666666666667
"113" 20 35 21 "F" 3.83333333333333 2.75 2.66666666666667
"114" 19 40 27 "F" 2.58333333333333 1.375 3
"115" 21 35 28 "F" 3.5 2.25 2.75
"116" 21 32 23 "F" 3.08333333333333 3.625 3.08333333333333
"117" 22 26 21 "F" 4.25 3.75 2.5
"118" 25 20 25 "F" 3.16666666666667 4 2.33333333333333
"119" 21 27 11 "F" 3.08333333333333 3.125 3
"120" 22 32 19 "F" 4.16666666666667 3.25 3
"121" 25 33 24 "F" 2.25 2.125 4
"122" 20 39 28 "F" 3.33333333333333 2.875 3.25
"123" 24 33 21 "M" 3.08333333333333 1.5 3.5
"124" 20 30 24 "F" 2.75 2.5 3.5
"125" 21 37 24 "M" 3.25 3.25 3.83333333333333
"128" 20 25 20 "F" 4 3.625 2.91666666666667
"129" 20 29 19 "F" 3.58333333333333 3.875 2.16666666666667
"130" 31 39 30 "M" 4.08333333333333 3.875 1.66666666666667
"131" 20 36 22 "F" 4.25 2.375 2.08333333333333
"132" 22 29 16 "F" 3.41666666666667 3 2.83333333333333
"133" 22 21 16 "F" 3.08333333333333 3.375 3.41666666666667
"134" 21 31 19 "M" 3.5 2.75 3.33333333333333
"136" 22 40 30 "M" 3.66666666666667 4.5 2.58333333333333
"137" 21 31 23 "F" 4.25 2.625 2.83333333333333
"138" 21 23 19 "F" 4.25 2.75 3.33333333333333
"139" 21 28 18 "F" 3.83333333333333 3.25 3
"140" 21 37 28 "F" 4.41666666666667 4.125 2.58333333333333
"141" 20 26 21 "F" 3.5 3.375 2.41666666666667
"142" 21 24 19 "F" 3.58333333333333 2.75 3.58333333333333
"143" 25 30 27 "F" 3.66666666666667 4.125 2.08333333333333
"146" 21 28 24 "M" 2.08333333333333 3.25 4.33333333333333
"147" 24 29 21 "F" 4.25 2.875 2.66666666666667
"148" 20 24 20 "F" 3.58333333333333 2.875 3
"149" 21 31 28 "M" 4 2.375 2.66666666666667
"150" 20 19 12 "F" 3.33333333333333 3.875 2.16666666666667
"151" 20 20 21 "F" 3.5 2.125 2.66666666666667
"152" 18 38 28 "F" 3.16666666666667 4 2.25
"153" 21 34 31 "F" 3.58333333333333 3.25 2.66666666666667
"154" 19 37 18 "F" 3.41666666666667 2.625 3.33333333333333
"155" 21 29 25 "F" 4.25 2.75 3.5
"156" 20 23 19 "F" 3.25 4 2.75
"157" 21 41 21 "M" 4.41666666666667 3 2
"158" 20 27 16 "F" 3.25 3.375 2.83333333333333
"159" 21 35 7 "F" 3.91666666666667 3.875 3.5
"160" 20 34 21 "F" 3.58333333333333 3.25 2.5
"161" 18 32 17 "F" 4.5 3.375 3.16666666666667
"162" 22 33 22 "M" 3.58333333333333 4.125 3.08333333333333
"163" 22 33 18 "F" 3.66666666666667 3.5 2.91666666666667
"164" 24 35 25 "M" 2.58333333333333 2 3.16666666666667
"165" 19 32 24 "F" 4.16666666666667 3.625 2.5
"166" 20 31 23 "F" 3.25 3.375 3.83333333333333
"168" 20 28 23 "F" 4.33333333333333 2.125 2.25
"169" 17 17 26 "F" 3.91666666666667 4.625 3.41666666666667
"170" 19 19 12 "M" 2.66666666666667 2.5 3.75
"172" 20 35 32 "F" 3.08333333333333 2.875 3
"173" 20 24 22 "F" 3.75 2.75 2.58333333333333
"175" 20 21 20 "F" 4.16666666666667 4 3.33333333333333
"176" 20 29 21 "F" 4.16666666666667 2.375 2.83333333333333
"177" 19 19 23 "F" 3.25 3.875 3
"178" 19 20 20 "F" 4.08333333333333 3.375 2.83333333333333
"179" 22 42 28 "F" 2.91666666666667 1.75 3.16666666666667
"180" 35 41 31 "M" 3.83333333333333 3 2.75
"181" 18 37 18 "F" 3.16666666666667 2.625 3.41666666666667
"182" 19 36 30 "F" 3.41666666666667 2.625 3
"183" 21 18 19 "M" 4.08333333333333 3.375 2.66666666666667
